ph,TDS,Hardness,Turbidity
7.348844512,11519.04653,223.2649397,4.880875156
8.52616987,11837.12336,175.6128363,5.083014142
,36152.8209,169.0419175,3.995973787
2.612035915,34798.25259,188.8041257,4.76520537
8.490571562,22989.79639,204.1236484,3.875556805
,22539.71161,213.5419323,3.398592587
8.858401531,9624.300462,254.6175187,5.525726338
6.098156521,27776.90105,189.995846,3.977362364
8.419970682,13237.9896,185.7189888,3.962478314
9.286155021,12311.26837,222.6615514,5.23998187
7.875895135,12710.24945,226.2847878,4.238589203
7.725332908,36477.73811,252.2654912,3.724836704
3.388090611,20230.12558,212.0289445,2.798600948
6.745306715,21871.8387,218.424637,3.90235259
,28062.64189,190.4238985,5.629015636
7.183825723,14100.96899,261.8507998,4.597165512
10.1119767,15331.30269,240.4321002,3.425763242
7.397413299,8855.114121,122.5410399,3.14915751
7.812804388,42550.84182,196.583886,6.204846359
6.877456933,27433.58729,136.8792139,3.827650072
,16367.45837,146.9702452,4.664350321
,27418.78104,230.8094825,4.197595209
7.521051679,26865.37374,267.0596474,2.880785347
8.550875469,28918.41995,231.2487868,3.772886607
10.30847766,27653.23518,217.2197464,3.285077052
,29368.67418,252.670469,5.052736766
7.371085073,24913.83717,207.7168244,4.412589537
11.18069466,16600.39275,228.3008604,3.809841654
6.506487767,17087.0769,202.2859379,3.548775589
6.643935775,10909.19459,151.8896001,3.812952926
5.03377399,34971.80748,155.3214775,3.244948477
6.912607562,17973.17886,155.7404952,2.612248953
7.977635991,32170.06916,245.8951304,3.5521295
6.078335837,35957.79218,197.5019119,4.201580906
6.242414484,28149.41179,191.9087295,4.508705098
6.06335479,14775.1456,160.7673113,3.467336915
8.129585514,27834.2177,177.8989666,3.362537135
9.562405944,13041.82914,202.0136426,3.762719837
8.167792632,27141.3629,200.9137547,4.289395484
8.594416135,15791.67535,270.0227059,3.568991708
,20944.62081,167.3861273,3.679795035
6.825467901,46140.12685,187.0517097,3.027449578
7.861177701,25145.02412,204.2742411,4.157656628
4.96577356,21802.7449,220.8486386,3.421766849
6.207432968,13442.60347,192.9370271,3.549298841
,20067.10533,157.0012874,4.417559791
9.769251006,8471.677381,264.2656543,4.636556195
9.63066548,23641.70257,152.8624335,4.920091158
5.187471605,20060.07873,104.752425,3.203257896
7.633570088,16312.15497,199.6529996,2.927066767
5.77119905,24909.44401,155.0508931,4.688959065
6.579969329,17657.08418,197.2269809,4.575931872
4.801154368,13556.7344,180.7728708,4.418638132
7.948815718,19129.45837,238.2364097,3.692250861
6.906992172,19991.23915,216.7852908,2.124759352
,22452.09081,281.268667,4.444350199
,12224.31051,190.7794599,3.463172548
8.461330874,34406.77645,212.5813664,3.771944146
7.726134808,21667.86874,233.9478637,3.720636904
,19549.49934,247.6615733,3.777737414
8.927078148,22821.25438,241.875105,4.601860959
6.20801554,17358.79637,153.2211063,4.334615732
6.128425635,9615.83271,141.4924095,4.633823862
,11981.74019,202.2548328,2.678910713
7.308048848,14600.53952,274.7049505,3.696119712
,39906.19027,170.0992357,4.353238589
8.640886409,26473.71324,201.5687241,5.263101572
,20406.92767,205.5094572,4.102529482
8.153210075,10280.9295,127.1448918,2.905788134
8.29372011,35216.38597,206.1604149,3.954715283
,21136.28676,233.850345,3.310858508
,26009.07526,237.6773831,3.706601792
9.489972878,15513.74038,234.0699652,4.219967522
7.830976343,7695.063935,190.7990441,4.588784657
4.430281212,28862.25717,139.6857588,4.384565156
7.240739639,23783.09956,201.1868045,3.556297467
,19517.7248,260.2053596,3.665521764
6.867301322,24112.15347,174.1849764,3.82359504
6.129637015,30989.94841,200.2781822,4.615886181
7.917049443,27192.28056,278.056321,3.659484625
6.511618075,29136.81462,181.8734217,4.850433708
5.323815584,37625.75268,232.36858,2.880721846
6.769572869,11067.18115,168.9370725,5.22054027
5.87797404,13652.2932,141.6152867,4.032259504
9.534021716,9472.61492,201.955208,2.768238928
6.340027628,45222.50667,225.0281485,3.686001324
8.66159243,27088.47646,284.0983515,3.67043101
5.653506135,16462.46009,146.5902323,5.198985504
6.626012184,25839.8941,112.2994855,4.194313129
7.793833573,18344.68036,176.8664829,4.172935335
7.59312765,18371.0572,261.5661726,3.377337638
7.362736502,16268.44861,185.692181,4.408513182
9.320305445,16002.13832,129.8238585,4.205809732
3.719791644,23590.93213,248.8592673,2.718397734
6.655605026,20571.84571,216.4411715,2.951644715
9.868877881,15326.85591,214.1662353,3.355489791
5.590614436,35370.73552,229.1921395,4.726845017
5.554436511,31344.46039,229.1228286,2.095914087
4.126528715,11215.9459,125.4748835,4.460200984
5.970035657,16324.1152,230.4493293,5.428674072
,16162.26231,229.7713495,4.600927569
8.369154354,12975.90033,183.5003784,3.629749331
6.284248242,12206.68121,190.0176486,3.377132289
11.26782838,6040.369868,161.8963622,4.153347001
9.298018008,13990.5134,163.0388346,3.681324244
7.895469246,7769.616119,154.2657803,4.2369473
7.947485786,34440.77343,269.809407,3.70085384
10.02615916,14962.17783,224.2663577,4.182277582
6.48819324,34864.42789,225.4819088,4.592073571
5.869736755,22244.21824,207.7254552,4.689315048
,21410.31962,220.8137025,3.659974812
5.30414266,25299.51156,160.9683582,4.165723664
7.533614823,11642.72754,186.9182451,3.462763987
4.077607725,18194.95414,207.8380479,2.758658531
,37928.14218,105.8592636,3.87385335
7.086168401,4304.492483,189.1453777,3.416539753
6.271012171,24846.14187,213.444685,5.303581361
7.957768344,17162.39842,276.7335689,3.450745892
8.875642278,28487.7086,228.9215872,4.006991559
,18257.56927,192.447171,4.358298341
6.613709118,25648.5695,141.1289215,3.539771111
7.735705022,16723.97724,137.3181658,2.148611536
9.925041328,10704.60318,238.7133934,4.703803489
9.00258311,19523.12486,202.9907653,4.904837415
5.095766465,26307.29845,273.4084481,4.35219347
8.594677108,23220.12061,263.7645927,4.754072499
7.083779061,8580.245561,112.820254,3.887680685
7.682872498,12105.72193,180.7013755,3.778606788
,18272.50597,133.8131148,3.313199022
6.419772474,30759.68144,208.7602476,3.095233157
4.443238899,25008.53225,178.9562058,3.268324836
6.978664262,23114.44608,183.2427962,4.766943236
6.623613566,17167.3013,203.0301413,2.915165951
3.664710562,28102.75663,201.0973162,3.316157657
4.814135621,17650.40505,205.2140411,5.190851805
5.779673705,24160.35432,199.5860803,4.656377233
6.937818783,12626.19792,177.5781419,3.724089564
7.436782609,28544.61629,208.094004,3.727663719
4.723312573,22833.19204,252.274895,3.917586695
9.380658051,15156.78983,265.0612161,4.034349047
7.810144933,20418.88993,187.3150477,4.033773709
9.436637164,20724.93036,143.7884118,4.41111744
9.406325753,27948.58945,216.7621587,3.097277957
6.321259315,8532.139517,207.2577096,4.501457204
,17984.32744,217.369746,3.605154199
4.705356496,19555.76505,103.173587,3.437450134
8.896418988,8870.902966,222.2562929,3.700945733
6.581878202,37169.4444,272.9827447,4.201662864
6.755145902,18536.69865,231.2601313,5.162729749
9.445129838,13168.52916,145.8054024,3.875165247
9.024845037,19859.67648,128.0966912,3.985250506
,23403.6373,169.974849,2.747312999
6.80011909,39143.40333,242.0080815,3.8549399
7.174135163,20401.10246,203.4089346,3.939895657
7.657991237,14245.78912,236.9608892,2.437296288
8.322986672,28049.64628,207.2524622,4.052135728
5.934279093,23249.65383,223.8581252,5.217895024
9.802720782,27357.45674,98.77164353,2.764633881
6.101955231,15976.92623,215.2680896,3.53559633
4.997770601,26849.19474,280.0824107,3.404632906
4.815766791,16392.13507,217.6870932,4.375223811
6.548020558,25508.38695,278.5851052,3.611860372
13.17540172,19237.94968,47.432,4.10692449
6.618010906,19598.86074,233.6616359,4.437695749
7.788054733,29879.06015,212.6914573,3.368757217
5.191834327,14866.10386,211.0941848,3.859800939
5.626339528,14442.41888,230.8579828,1.943318777
6.869638941,21728.8213,251.2934475,4.726702454
9.058628424,15737.46894,155.3575571,3.65213447
7.291888325,27784.04848,127.5442971,5.328712788
7.275908774,22644.76635,175.2203765,5.062297798
6.512737124,22475.04687,229.263861,4.612963629
7.207886781,35804.29261,175.8702941,3.762741072
,16146.15711,156.5206348,3.772919265
5.324941856,35344.65805,280.0896549,4.427137926
7.082300649,29846.71906,169.4689273,3.485577388
5.33418358,28897.49153,224.7879362,5.091357101
10.7618978,25999.95367,81.71089527,4.661798516
6.286806948,13777.37619,258.3000516,4.104863275
9.794558699,20682.73174,129.8709584,2.945418738
8.210443565,13933.08536,167.1021915,4.97605516
6.941719438,20111.82126,173.3343894,4.563183171
10.35611883,48621.56395,136.3237517,4.201849441
7.958984292,23625.81389,171.4836247,4.698007916
3.882631081,7751.809491,243.8079497,3.734001387
5.671773833,15949.15318,216.0428111,3.833159746
10.00330054,46113.95749,143.0942854,4.746381859
6.552847474,34006.42073,198.8069397,4.687986155
7.628552723,26244.03691,156.7936942,4.182057148
4.79084054,17862.369,268.7208812,3.258858945
7.710959939,6552.626314,181.9381256,4.28894682
8.291299006,20008.13496,211.2170343,3.424701921
6.193170101,12883.7265,225.6834218,3.466645288
9.032660579,15618.17025,121.4414415,4.927218272
6.139493741,8081.466471,236.6740259,3.260906853
7.12942473,25840.57889,178.3723523,3.418610803
,21948.32536,191.2852176,4.109590274
5.418503763,35902.71568,187.7768087,4.506539591
8.075494508,29483.60185,195.8049958,3.682919645
,22511.69262,225.287704,4.081701398
10.04967372,11557.03204,132.8328367,5.133477823
5.667650647,16953.89874,229.9283665,3.633213756
,27776.18026,181.6891637,3.807920062
8.923980608,27919.77067,135.9384675,4.15558319
6.428866313,15596.47333,225.6130938,4.184783372
6.960603502,11348.676,201.7154525,4.978820188
5.873675846,19216.68309,203.3299282,5.412090885
6.79546901,15300.83867,187.7830201,5.163088154
10.04102797,16266.43445,113.8311122,3.807562606
,44506.44156,273.2556208,4.124780678
7.296037734,36043.70664,235.7351929,4.168526118
,29299.12335,161.8264761,3.497577391
5.862641233,44069.27216,185.0652199,5.50742094
7.292141805,33991.65157,174.480427,4.466912564
8.062805643,11567.88784,200.493112,4.471842
7.82197094,23318.18798,157.1815455,3.532958335
11.301794,39227.61946,77.4595861,3.309580397
6.593764313,25589.61059,233.5141325,2.346578095
9.161088613,26618.05964,119.8419046,4.888061137
,14507.01781,144.815264,5.922581692
4.642953052,16115.92986,307.7060241,3.982867293
7.798453676,32704.56929,188.3949423,4.107267203
5.564342491,11245.73577,256.20883,2.285987849
7.886591227,38852.02964,213.0525907,4.589983508
7.443189014,13551.95334,193.1247989,2.664832796
3.657123133,23736.81626,275.7671418,3.31462973
9.597191857,21153.32283,167.088976,5.145152871
6.964225943,29957.19122,212.7644944,3.990437572
7.672909523,22989.35118,152.8783051,4.268227482
6.737004072,24694.74421,220.1001024,4.063170289
,18570.28534,163.2244663,4.135745329
5.382489039,18189.39498,240.0182139,4.173330283
7.022952113,15978.35525,264.5256065,4.971907099
,27355.93431,250.7053939,2.969136099
10.02622381,25510.0973,94.09130748,3.736228471
5.583832998,35278.68174,261.2338253,3.870156921
7.952929116,18621.42492,221.3698538,5.260014766
5.500186641,21082.85204,254.672705,4.178478951
7.543700466,19116.01208,161.6231416,3.630536578
6.848331559,12837.50606,159.1880501,4.396604556
,30280.78859,181.2105099,3.779554492
5.910251729,15244.84639,282.739017,3.660922908
8.716820334,11734.44886,153.9800345,3.205128767
6.016889136,16656.06267,221.1473078,4.422269233
9.567822726,38787.46271,173.1114983,4.197919055
4.296247024,19672.48721,278.1475241,4.163328982
3.551579177,38969.38899,323.124,3.96599397
8.529669348,18203.73003,157.7004811,3.776040837
8.065339036,21366.2836,174.1205843,3.756391707
9.158445163,15797.0304,186.672973,4.525236731
8.848586283,32033.33202,188.9199829,4.014681858
9.495456382,18088.35485,185.8785944,4.168541279
8.052893916,9025.07936,198.9944743,3.634844542
2.798549099,26931.24348,311.3839565,3.663252222
6.425873866,11965.39651,188.9802815,3.731936503
7.757269666,25259.78055,213.0484451,4.165432286
7.748654706,29331.23663,239.7882778,2.511810493
5.117390303,30914.11158,225.6574044,3.937188442
7.481535362,12088.41645,218.2611698,4.262065437
5.374222585,19410.23376,201.3314401,3.642778438
7.063646976,17941.81126,140.6128657,3.39586624
6.876451043,21979.03167,190.8445136,4.545340927
4.812433652,11465.57564,250.1839535,3.0209959
4.993530734,13900.77927,242.6205031,3.153809337
4.788861062,28174.62052,234.8937026,2.896852186
4.037287739,52318.9173,291.4618974,3.04504857
6.505872509,29534.69029,240.2879117,4.497528597
6.779773967,24415.07056,153.8863093,2.729104523
6.952511674,33737.28852,211.6972974,4.105495485
5.628406919,28334.49194,226.8300426,5.050683115
5.966000489,17350.05853,194.796221,4.177139266
6.319431545,36278.71831,180.9656209,2.653126688
8.02724787,7714.746969,193.3524164,3.480640837
8.882684452,4857.253807,135.5230624,3.827920867
5.991283475,29983.11601,224.6085628,4.840562301
10.27244427,18894.85239,163.6246234,3.179884727
,21626.49759,131.5477443,4.728123985
6.105140135,45249.44903,249.141391,3.103089844
9.443358884,20438.22469,73.49223369,3.486646409
6.887414371,29189.13672,223.603058,4.564188355
6.512900833,25151.41157,169.2174798,4.404040365
5.772718095,26124.93141,213.3635446,6.494249467
4.912557262,44063.09842,308.2538329,4.897372508
9.739561949,13623.16006,166.948864,2.568079877
5.541979019,20143.06526,185.6718736,3.672975983
,42268.3343,193.5034148,3.601735481
,16263.16747,143.3002003,3.451740047
6.448931033,13979.16572,240.244771,3.622195522
5.477912295,27361.65907,211.3988439,3.774256121
8.544708662,31429.37903,181.4134021,2.31815248
7.378597016,9460.322635,175.9824471,3.215219463
6.66400305,15902.94528,199.5887185,2.227727884
6.775582812,17968.88278,218.4149289,4.333636278
8.736371211,24283.65879,194.6776872,3.802116117
7.146976296,16911.20377,196.5626846,4.025762216
,9654.733681,242.9094363,5.652222113
5.040331692,25653.69023,232.2344791,3.603325615
,21707.49226,281.5821623,4.003819012
7.745499128,14336.62752,168.3556238,4.043334781
6.259651603,37356.7464,208.3794303,4.213405262
8.59639118,14518.9745,189.5231608,3.519884366
5.767349597,15417.93283,272.4721781,3.896090487
7.088940642,13839.71343,206.3641219,5.661104287
8.029181613,19663.46943,158.0403984,4.388551012
,46931.88429,286.2017633,4.120931424
4.725785565,20834.29428,249.6709994,3.15633142
8.19576536,10389.54254,214.5176104,3.218709224
6.443753668,25740.41259,196.6159916,4.498684931
7.039094321,28827.36019,179.6452245,4.366031351
,27345.17429,185.7557279,4.407566169
,14971.94903,185.8467967,5.110414149
6.945224092,36438.31088,220.9600411,4.823082014
5.742110407,26831.61041,188.216604,3.323069564
5.59662785,17925.35212,177.2137917,5.235111121
7.350378987,26736.08557,193.6333668,3.663922184
6.262798867,31414.52581,206.8897483,4.012517558
9.927023723,19666.99279,208.4907383,4.051733473
5.381407519,15371.99994,175.5743066,4.364066935
4.961352728,22229.23009,166.2599616,3.902837834
6.457097525,18340.04681,192.2649447,2.637364885
6.53936951,21230.43141,214.6386028,4.527364378
6.252410005,23920.25478,225.7841009,2.722908161
7.967344823,19384.03743,180.5317069,4.069358772
,37030.70812,212.73169,4.825792283
7.60952119,40879.78957,223.2883936,3.145842903
6.887863944,19947.92418,173.3250224,5.454487652
9.879071258,14673.67067,208.9056452,4.218831154
7.63876177,18308.50267,178.2716356,4.496626599
6.961891686,31101.68428,223.595839,3.44672846
8.060609624,15489.32566,208.0427107,3.60090567
7.240271791,23432.96269,213.4231392,3.832597167
7.486779709,25396.01178,199.6777845,5.048833995
8.410460643,27554.34526,234.8765244,2.977359946
6.143921454,29072.16965,175.274076,3.476213304
6.09617989,16314.23338,174.8716293,5.142471132
6.384824009,39960.29895,243.6880749,4.144998518
9.462666017,12224.6246,225.399307,2.850183766
7.868147086,20434.10574,199.035973,4.315898406
5.873157137,21910.76357,153.6733815,5.120887965
,26004.52888,186.8730137,5.14411422
6.529304448,28970.08761,210.0040335,3.361088407
5.152203722,27000.10688,207.2992598,4.689842818
7.858662779,26703.85347,210.954754,3.422470521
7.704410252,22057.37916,234.6359511,3.031364369
6.728004386,22888.78806,201.1268956,4.410697353
10.46450248,6700.775054,190.9948483,4.956358408
9.11278625,20868.62798,205.9410721,4.567087634
8.079808358,12677.8415,174.1610935,3.611057441
7.078659419,26177.78951,232.5818483,3.696640141
,2912.211247,139.3311518,4.093097749
8.043889299,8896.195118,169.6882249,3.15994937
7.040244978,20988.42941,192.9559825,3.993409764
5.483974109,21144.97526,166.1618369,4.063613621
8.53440688,22372.30327,248.5774824,2.544733701
7.266594535,14859.05966,176.8536963,3.357439471
6.256651148,16905.80152,181.0723073,4.181050753
7.240351006,14462.67431,201.9971958,3.7829719
8.692115322,2552.962804,144.2363578,2.283475159
8.639540978,7013.211787,168.6139666,4.192932215
7.179864149,10859.55375,180.8542106,3.878447314
7.163999223,34226.07213,203.7815979,3.354322267
8.926113143,15249.62024,189.987947,2.752134121
6.353110302,18409.03732,206.2698099,2.856175487
6.681553568,26132.21181,238.5124406,2.956748075
5.445325981,28001.11818,201.3794591,3.946989523
7.539881893,21575.24522,185.8259753,4.53159367
,15335.51143,199.9180136,4.482459764
4.37047658,29542.33817,188.6540373,4.649382034
10.31640038,10676.50848,217.2668424,3.407349428
6.599593819,21078.88717,198.3232608,4.702310753
4.197583589,31292.1277,189.4736767,5.206480177
7.920794564,13454.63478,173.3571506,3.374326523
6.330732765,18397.19941,166.738009,3.940000423
,23433.90177,181.2961251,5.128346524
7.76414261,25926.07564,186.1324319,4.105178268
8.237142634,20015.39811,190.0596949,4.939109441
5.679234115,35643.18121,188.1886961,2.339572736
7.417570368,23207.09284,193.7718784,4.671557881
4.775983439,19185.79188,196.2739637,4.382161619
7.86509497,14310.6233,210.0392943,4.795025555
5.903465715,25394.10472,201.8640323,4.587086719
7.705711006,18476.61917,178.9228576,3.861956077
7.815121778,20229.10815,190.3139043,3.096163272
6.139743032,23894.13601,168.4442145,3.841221574
5.041405028,17342.31408,193.1678535,4.543685761
8.675192692,15049.5842,200.7359412,4.97857536
7.689358004,30253.8511,221.3568855,4.978556095
8.570129121,9782.344284,200.0718748,4.604404561
5.671762326,17527.71673,184.7818419,3.268693507
6.624806428,21443.26475,204.3429275,2.840910756
6.541007699,29616.49287,195.5668895,2.355934229
,18408.29497,169.1887357,6.739
9.241197563,21610.5813,223.6913502,5.265728858
,21318.96169,162.6262869,4.514981624
6.340809022,15288.21377,158.3427412,5.45860969
5.980357227,11826.29428,181.2587047,4.247240149
7.60597883,10930.05567,172.1981361,3.242849929
6.427512443,25993.71141,178.3265554,6.032994877
,17909.36578,196.2488574,3.888235227
6.109073312,26853.94949,191.7555714,4.881101138
5.842933081,19156.12313,168.2952871,4.143224936
5.36754649,29009.01082,175.4328194,4.267189591
5.345887147,22274.36837,184.7845747,2.950360943
5.386307352,40149.31656,212.5929905,3.662563465
9.919478426,16544.27559,207.0655873,4.11748804
,42061.3228,218.3021764,4.328026357
7.121458435,20574.36426,204.1641395,3.774600526
9.418296122,8777.686784,173.6402158,4.604633154
7.457164758,31085.08343,263.0367045,4.106543052
5.27222756,42210.88524,206.3131847,5.068556189
7.29195704,21891.67716,202.3290442,4.237643894
7.803833221,37376.79299,223.6881109,2.907387267
6.844350911,23608.86224,197.4604694,2.877062813
5.608745232,19835.98077,152.9540623,4.644211645
5.701154645,41411.60171,233.5150425,3.403136416
5.412762498,45510.58432,226.5864876,4.091205593
,17264.84092,208.177464,3.912148351
5.018132384,29072.03812,169.3972377,4.286478967
4.552238411,25969.21512,197.076934,3.932804334
,21417.59361,203.5059212,4.613578722
7.025305942,23502.8578,202.809081,5.989542791
5.770620969,16173.72709,194.5001438,4.240821478
8.437875983,12856.92869,183.1066249,3.815468994
5.907078269,41839.45645,213.4710813,4.296479909
6.89834133,19024.48553,187.4153064,5.371284156
10.25273437,9651.874826,217.7366692,3.290372492
8.206499938,18949.97554,182.9053594,4.22512093
7.286167388,30879.02668,208.4440851,4.686019916
8.809296432,18140.59427,226.1059008,3.87905374
6.641500687,27867.48676,198.8844095,4.694311216
6.145148361,39657.27211,197.5410721,4.600885755
5.906441765,27296.29404,177.8913689,4.807495942
5.38984593,19646.23342,163.3443524,3.577674921
5.006562979,27218.82198,160.496448,3.665205612
6.5036382,15000.18777,163.2566344,4.963184434
9.606858896,18907.64284,200.8421428,4.405351952
8.742229882,9694.354896,179.4098037,2.842393186
8.394397412,10603.09802,187.6434114,2.83390143
,12556.75405,204.9238286,3.257744181
3.841205038,19988.64926,186.9177655,3.635634543
4.301373467,26640.07219,148.7377009,3.067626699
9.895889213,13189.51938,210.6540407,3.813428659
4.319440673,30565.57839,186.0561786,3.241972101
8.313773604,11310.95831,196.5476964,4.290071516
,4784.967879,179.1492874,2.380084227
3.410359671,49074.73041,207.3974729,3.721765769
7.510943342,17100.88743,182.1928474,3.342409054
6.978290868,26189.64706,191.8584841,4.931878079
,15908.56187,164.3784333,4.380978304
7.46072722,25222.956,237.5796125,3.949014618
,18327.43843,190.0466609,4.54358117
7.220165553,15658.08628,204.7683905,4.398685036
8.790851189,7850.641892,187.4398122,3.480271755
,26486.18144,198.2344083,4.148611317
,29433.42378,219.0133284,5.77661102
9.049166054,4343.356611,169.5092544,2.814000683
9.515140615,9082.816175,199.0813173,3.812887661
6.14524294,20417.26442,213.1755888,4.09093992
7.494212047,29252.50111,210.3472757,5.492704955
7.091885817,29091.2071,221.1914756,5.116406585
6.624572528,14877.28974,172.0554707,4.333720849
6.032188903,32882.15594,200.4207555,3.423831621
6.344095425,14973.29736,164.8172074,3.843484016
,27382.76933,209.7660217,4.10343896
7.459144859,19436.50354,217.7001303,3.841052038
6.361666803,25833.85171,175.0439989,3.681765114
9.011588754,25208.15184,228.9195192,2.897292531
7.466213132,18261.69494,223.1841808,2.081845657
5.739816333,15825.44032,189.8277886,2.722571208
7.785106673,13404.25433,174.8893609,4.904613044
7.138586781,9727.65317,180.9037778,3.272429761
8.805177745,4728.650671,157.2319816,5.176205069
8.003031485,15007.27268,186.4630821,3.137551206
7.157337864,23718.55201,214.0101011,5.183622115
6.427365144,20920.25156,202.9449791,3.568823153
6.124672271,27951.61307,179.5797525,3.631006709
8.457901037,16061.5901,228.7321522,4.914276095
5.772197394,27840.69421,200.1449708,3.078985839
,11562.43551,220.976049,4.589161805
6.760790523,19089.94856,192.1426205,4.905490433
7.895045662,10465.2616,174.6926854,3.084431233
8.576739928,24897.2866,221.1502583,3.916114733
5.596729818,44652.36387,229.2950981,3.826158191
8.145632374,31350.27577,218.4408042,4.307547519
6.665495068,25319.91387,222.4877721,3.928495392
6.499067998,23734.84621,173.7688739,4.355880125
9.735889388,10897.15029,209.7615128,5.573210319
9.268281895,14333.53802,204.3604853,5.255703382
,17705.60862,180.8930357,3.9991255
10.0596421,5232.913254,175.8758278,3.81878876
6.475885399,16532.82882,177.2949494,4.306112971
6.096128348,16932.5771,200.6462242,2.956447478
6.297845634,21022.83503,214.2145741,1.680554025
5.284096687,26532.73725,185.7054923,4.800963142
8.26994471,11889.21775,192.0037757,3.076479932
6.03956779,39489.00974,246.6928547,4.206835504
6.243279004,19605.02957,171.1038864,3.472839213
8.214099764,12819.87544,192.1771266,3.38186391
,39742.97033,205.6387903,3.916745527
,27071.11862,233.0201336,4.284878629
,28135.07684,220.5525236,3.569570266
